sample_id,scenario,reference_path,observation_path,label_transform_path,label_transform_direction,T0_mode,T0_path,perturb_rot_deg,perturb_trans_m,voxel_size,normal_radius,fpfh_radius,density_radius,max_corr_distance_m,label_threshold_m,max_source_points
box_sphere_static_noise_medium_2,static_noise,data/learning_synthetic_cases_multishape/box_sphere/static_noise/reference.ply,data/learning_synthetic_cases_multishape/box_sphere/static_noise/observation.ply,data/learning_synthetic_cases_multishape/box_sphere/static_noise/T_true.txt,ref_to_obs,perturb_label,,5.5,0.09,0.05,0.15,0.25,0.15,0.45,0.08,1500
box_sphere_static_noise_medium_3,static_noise,data/learning_synthetic_cases_multishape/box_sphere/static_noise/reference.ply,data/learning_synthetic_cases_multishape/box_sphere/static_noise/observation.ply,data/learning_synthetic_cases_multishape/box_sphere/static_noise/T_true.txt,ref_to_obs,perturb_label,,6.0,0.1,0.05,0.15,0.25,0.15,0.5,0.08,1500
box_sphere_static_noise_hard_mixed,static_noise,data/learning_synthetic_cases_multishape/box_sphere/static_noise/reference.ply,data/learning_synthetic_cases_multishape/box_sphere/static_noise/observation.ply,data/learning_synthetic_cases_multishape/box_sphere/static_noise/T_true.txt,ref_to_obs,perturb_label,,6.5,0.11,0.05,0.15,0.25,0.15,0.55,0.08,1500
box_sphere_partial_overlap_medium_2,partial_overlap,data/learning_synthetic_cases_multishape/box_sphere/partial_overlap/reference.ply,data/learning_synthetic_cases_multishape/box_sphere/partial_overlap/observation.ply,data/learning_synthetic_cases_multishape/box_sphere/partial_overlap/T_true.txt,ref_to_obs,perturb_label,,5.5,0.09,0.05,0.15,0.25,0.15,0.45,0.08,1500
box_sphere_partial_overlap_medium_3,partial_overlap,data/learning_synthetic_cases_multishape/box_sphere/partial_overlap/reference.ply,data/learning_synthetic_cases_multishape/box_sphere/partial_overlap/observation.ply,data/learning_synthetic_cases_multishape/box_sphere/partial_overlap/T_true.txt,ref_to_obs,perturb_label,,6.0,0.1,0.05,0.15,0.25,0.15,0.5,0.08,1500
box_sphere_partial_overlap_hard_mixed,partial_overlap,data/learning_synthetic_cases_multishape/box_sphere/partial_overlap/reference.ply,data/learning_synthetic_cases_multishape/box_sphere/partial_overlap/observation.ply,data/learning_synthetic_cases_multishape/box_sphere/partial_overlap/T_true.txt,ref_to_obs,perturb_label,,6.5,0.11,0.05,0.15,0.25,0.15,0.55,0.08,1500
box_sphere_added_outliers_medium_2,added_outliers,data/learning_synthetic_cases_multishape/box_sphere/added_outliers/reference.ply,data/learning_synthetic_cases_multishape/box_sphere/added_outliers/observation.ply,data/learning_synthetic_cases_multishape/box_sphere/added_outliers/T_true.txt,ref_to_obs,perturb_label,,5.5,0.09,0.05,0.15,0.25,0.15,0.45,0.08,1500
box_sphere_added_outliers_medium_3,added_outliers,data/learning_synthetic_cases_multishape/box_sphere/added_outliers/reference.ply,data/learning_synthetic_cases_multishape/box_sphere/added_outliers/observation.ply,data/learning_synthetic_cases_multishape/box_sphere/added_outliers/T_true.txt,ref_to_obs,perturb_label,,6.0,0.1,0.05,0.15,0.25,0.15,0.5,0.08,1500
box_sphere_added_outliers_hard_mixed,added_outliers,data/learning_synthetic_cases_multishape/box_sphere/added_outliers/reference.ply,data/learning_synthetic_cases_multishape/box_sphere/added_outliers/observation.ply,data/learning_synthetic_cases_multishape/box_sphere/added_outliers/T_true.txt,ref_to_obs,perturb_label,,6.5,0.11,0.05,0.15,0.25,0.15,0.55,0.08,1500
box_sphere_strong_noise_medium_2,strong_noise,data/learning_synthetic_cases_multishape/box_sphere/strong_noise/reference.ply,data/learning_synthetic_cases_multishape/box_sphere/strong_noise/observation.ply,data/learning_synthetic_cases_multishape/box_sphere/strong_noise/T_true.txt,ref_to_obs,perturb_label,,5.5,0.09,0.05,0.15,0.25,0.15,0.45,0.08,1500
box_sphere_strong_noise_medium_3,strong_noise,data/learning_synthetic_cases_multishape/box_sphere/strong_noise/reference.ply,data/learning_synthetic_cases_multishape/box_sphere/strong_noise/observation.ply,data/learning_synthetic_cases_multishape/box_sphere/strong_noise/T_true.txt,ref_to_obs,perturb_label,,6.0,0.1,0.05,0.15,0.25,0.15,0.5,0.08,1500
