sample_id,scenario,num_candidates,num_positive,num_negative,positive_rate,time_s
box_sphere_static_noise_medium_2,static_noise,1500,868,632,0.5786666666666667,0.08006930351257324
box_sphere_static_noise_medium_3,static_noise,1500,517,983,0.3446666666666667,0.08526492118835449
box_sphere_static_noise_hard_mixed,static_noise,1500,297,1203,0.198,0.0884709358215332
box_sphere_partial_overlap_medium_2,partial_overlap,1500,816,684,0.544,0.0696573257446289
box_sphere_partial_overlap_medium_3,partial_overlap,1500,1280,220,0.8533333333333334,0.06790685653686523
box_sphere_partial_overlap_hard_mixed,partial_overlap,1500,131,1369,0.08733333333333333,0.08232951164245605
box_sphere_added_outliers_medium_2,added_outliers,1310,247,1063,0.18854961832061068,0.08151912689208984
box_sphere_added_outliers_medium_3,added_outliers,1323,586,737,0.4429327286470144,0.08009195327758789
box_sphere_added_outliers_hard_mixed,added_outliers,1329,708,621,0.5327313769751693,0.0808248519897461
box_sphere_strong_noise_medium_2,strong_noise,1500,1100,400,0.7333333333333333,0.08408045768737793
box_sphere_strong_noise_medium_3,strong_noise,1500,169,1331,0.11266666666666666,0.11001014709472656
box_sphere_strong_noise_hard_mixed,strong_noise,1500,336,1164,0.224,0.08712172508239746
box_sphere_scene_change_medium_2,scene_change,1500,627,873,0.418,0.07454586029052734
box_sphere_scene_change_medium_3,scene_change,1500,555,945,0.37,0.07436966896057129
box_sphere_scene_change_hard_mixed,scene_change,1500,511,989,0.3406666666666667,0.07381248474121094
l_shape_static_noise_medium_2,static_noise,1500,501,999,0.334,0.07489871978759766
l_shape_static_noise_medium_3,static_noise,1500,458,1042,0.30533333333333335,0.07279419898986816
l_shape_static_noise_hard_mixed,static_noise,1500,273,1227,0.182,0.07248878479003906
l_shape_partial_overlap_medium_2,partial_overlap,1500,426,1074,0.284,0.06693720817565918
l_shape_partial_overlap_medium_3,partial_overlap,1500,1406,94,0.9373333333333334,0.0655052661895752
l_shape_partial_overlap_hard_mixed,partial_overlap,1500,1077,423,0.718,0.06578469276428223
l_shape_added_outliers_medium_2,added_outliers,1253,531,722,0.4237829209896249,0.07446789741516113
l_shape_added_outliers_medium_3,added_outliers,1267,125,1142,0.09865824782951854,0.07514667510986328
l_shape_added_outliers_hard_mixed,added_outliers,1295,792,503,0.6115830115830115,0.07572126388549805
l_shape_strong_noise_medium_2,strong_noise,1500,605,895,0.4033333333333333,0.07923364639282227
l_shape_strong_noise_medium_3,strong_noise,1500,46,1454,0.030666666666666665,0.07979536056518555
l_shape_strong_noise_hard_mixed,strong_noise,1500,811,689,0.5406666666666666,0.07892823219299316
l_shape_scene_change_medium_2,scene_change,1493,94,1399,0.06296048225050234,0.06984114646911621
l_shape_scene_change_medium_3,scene_change,1430,443,987,0.30979020979020977,0.06903910636901855
l_shape_scene_change_hard_mixed,scene_change,1498,902,596,0.6021361815754339,0.06961894035339355
boxes_cylinder_static_noise_medium_2,static_noise,1500,1043,457,0.6953333333333334,0.07802295684814453
boxes_cylinder_static_noise_medium_3,static_noise,1500,291,1209,0.194,0.07836270332336426
boxes_cylinder_static_noise_hard_mixed,static_noise,1500,351,1149,0.234,0.07915401458740234
boxes_cylinder_partial_overlap_medium_2,partial_overlap,1500,143,1357,0.09533333333333334,0.06986522674560547
boxes_cylinder_partial_overlap_medium_3,partial_overlap,1500,254,1246,0.16933333333333334,0.0691688060760498
boxes_cylinder_partial_overlap_hard_mixed,partial_overlap,1500,379,1121,0.25266666666666665,0.06934237480163574
boxes_cylinder_added_outliers_medium_2,added_outliers,1255,475,780,0.3784860557768924,0.08037781715393066
boxes_cylinder_added_outliers_medium_3,added_outliers,1280,431,849,0.33671875,0.0882575511932373
