sample_id,scenario,num_candidates,num_positive,num_negative,positive_rate,time_s
box_sphere_static_noise_medium_2,static_noise,1500,678,822,0.452,0.0793008804321289
box_sphere_static_noise_medium_3,static_noise,1500,405,1095,0.27,0.07711243629455566
box_sphere_static_noise_hard_mixed,static_noise,1500,230,1270,0.15333333333333332,0.07728004455566406
box_sphere_partial_overlap_medium_2,partial_overlap,1500,637,863,0.4246666666666667,0.06746864318847656
box_sphere_partial_overlap_medium_3,partial_overlap,1500,270,1230,0.18,0.06817007064819336
box_sphere_partial_overlap_hard_mixed,partial_overlap,1500,646,854,0.43066666666666664,0.06750917434692383
box_sphere_added_outliers_medium_2,added_outliers,1300,554,746,0.42615384615384616,0.08035731315612793
box_sphere_added_outliers_medium_3,added_outliers,1310,146,1164,0.11145038167938931,0.07993960380554199
box_sphere_added_outliers_hard_mixed,added_outliers,1345,225,1120,0.16728624535315986,0.08008313179016113
box_sphere_strong_noise_medium_2,strong_noise,1500,858,642,0.572,0.081787109375
box_sphere_strong_noise_medium_3,strong_noise,1500,553,947,0.36866666666666664,0.08162212371826172
box_sphere_strong_noise_hard_mixed,strong_noise,1500,364,1136,0.24266666666666667,0.08193421363830566
box_sphere_scene_change_medium_2,scene_change,1500,209,1291,0.13933333333333334,0.07364678382873535
box_sphere_scene_change_medium_3,scene_change,1500,843,657,0.562,0.07391619682312012
box_sphere_scene_change_hard_mixed,scene_change,1500,861,639,0.574,0.07350540161132812
l_shape_static_noise_medium_2,static_noise,1500,762,738,0.508,0.07240176200866699
l_shape_static_noise_medium_3,static_noise,1500,273,1227,0.182,0.07932162284851074
l_shape_static_noise_hard_mixed,static_noise,1500,540,960,0.36,0.07223725318908691
l_shape_partial_overlap_medium_2,partial_overlap,1500,365,1135,0.24333333333333335,0.06470847129821777
l_shape_partial_overlap_medium_3,partial_overlap,1500,835,665,0.5566666666666666,0.06513309478759766
l_shape_partial_overlap_hard_mixed,partial_overlap,1500,273,1227,0.182,0.06429839134216309
l_shape_added_outliers_medium_2,added_outliers,1276,648,628,0.5078369905956113,0.07488417625427246
l_shape_added_outliers_medium_3,added_outliers,1289,328,961,0.25446082234290146,0.07530593872070312
l_shape_added_outliers_hard_mixed,added_outliers,1285,136,1149,0.10583657587548638,0.07558059692382812
l_shape_strong_noise_medium_2,strong_noise,1500,519,981,0.346,0.07929062843322754
l_shape_strong_noise_medium_3,strong_noise,1500,540,960,0.36,0.07904338836669922
