sample_id,scenario,num_candidates,num_positive,num_negative,positive_rate,time_s
box_sphere_static_noise_medium_2,static_noise,1500,678,822,0.452,0.0793008804321289
box_sphere_static_noise_medium_3,static_noise,1500,405,1095,0.27,0.0771124362945556
box_sphere_static_noise_hard_mixed,static_noise,1500,230,1270,0.1533333333333333,0.077280044555664
box_sphere_partial_overlap_medium_2,partial_overlap,1500,637,863,0.4246666666666667,0.0674686431884765
box_sphere_partial_overlap_medium_3,partial_overlap,1500,270,1230,0.18,0.0681700706481933
box_sphere_partial_overlap_hard_mixed,partial_overlap,1500,646,854,0.4306666666666666,0.0675091743469238
box_sphere_added_outliers_medium_2,added_outliers,1300,554,746,0.4261538461538461,0.0803573131561279
box_sphere_added_outliers_medium_3,added_outliers,1310,146,1164,0.1114503816793893,0.0799396038055419
box_sphere_added_outliers_hard_mixed,added_outliers,1345,225,1120,0.1672862453531598,0.0800831317901611
box_sphere_strong_noise_medium_2,strong_noise,1500,858,642,0.572,0.081787109375
box_sphere_strong_noise_medium_3,strong_noise,1500,553,947,0.3686666666666666,0.0816221237182617
box_sphere_strong_noise_hard_mixed,strong_noise,1500,364,1136,0.2426666666666666,0.0819342136383056
box_sphere_scene_change_medium_2,scene_change,1500,209,1291,0.1393333333333333,0.0736467838287353
box_sphere_scene_change_medium_3,scene_change,1500,843,657,0.562,0.0739161968231201
box_sphere_scene_change_hard_mixed,scene_change,1500,861,639,0.574,0.0735054016113281
l_shape_static_noise_medium_2,static_noise,1500,762,738,0.508,0.0724017620086669
l_shape_static_noise_medium_3,static_noise,1500,273,1227,0.182,0.0793216228485107
l_shape_static_noise_hard_mixed,static_noise,1500,540,960,0.36,0.0722372531890869
l_shape_partial_overlap_medium_2,partial_overlap,1500,365,1135,0.2433333333333333,0.0647084712982177
l_shape_partial_overlap_medium_3,partial_overlap,1500,835,665,0.5566666666666666,0.0651330947875976
l_shape_partial_overlap_hard_mixed,partial_overlap,1500,273,1227,0.182,0.064298391342163
l_shape_added_outliers_medium_2,added_outliers,1276,648,628,0.5078369905956113,0.0748841762542724
l_shape_added_outliers_medium_3,added_outliers,1289,328,961,0.2544608223429014,0.0753059387207031
l_shape_added_outliers_hard_mixed,added_outliers,1285,136,1149,0.1058365758754863,0.0755805969238281
l_shape_strong_noise_medium_2,strong_noise,1500,519,981,0.346,0.0792906284332275
l_shape_strong_noise_medium_3,strong_noise,1500,540,960,0.36,0.0790433883666992
l_shape_strong_noise_hard_mixed,strong_noise,1500,548,952,0.3653333333333333,0.0791156291961669
l_shape_scene_change_medium_2,scene_change,1437,1286,151,0.894919972164231,0.0695853233337402
l_shape_scene_change_medium_3,scene_change,1495,1306,189,0.8735785953177257,0.0716722011566162
l_shape_scene_change_hard_mixed,scene_change,1500,388,1112,0.2586666666666666,0.0702235698699951
boxes_cylinder_static_noise_medium_2,static_noise,1500,537,963,0.358,0.0789742469787597
boxes_cylinder_static_noise_medium_3,static_noise,1500,539,961,0.3593333333333333,0.0790824890136718
boxes_cylinder_static_noise_hard_mixed,static_noise,1500,652,848,0.4346666666666666,0.0787177085876464
boxes_cylinder_partial_overlap_medium_2,partial_overlap,1500,409,1091,0.2726666666666666,0.0707378387451171
boxes_cylinder_partial_overlap_medium_3,partial_overlap,1500,992,508,0.6613333333333333,0.0693049430847168
