sample_id,real_case_id,correspondence_csv_exists,num_rows,num_positive,num_negative,positive_rate,label_threshold_m,max_corr_distance_m,label_mismatch_count,label_mismatch_rate,candidate_above_max_corr_count,candidate_above_max_corr_rate,label_distance_min,label_distance_median,label_distance_mean,label_distance_p90,label_distance_max,distance_T0_min,distance_T0_median,distance_T0_mean,distance_T0_p90,distance_T0_max,point_to_plane_residual_min,point_to_plane_residual_median,point_to_plane_residual_mean,point_to_plane_residual_p90,point_to_plane_residual_max,normal_dot_abs_min,normal_dot_abs_median,normal_dot_abs_mean,normal_dot_abs_p90,normal_dot_abs_max,fpfh_distance_min,fpfh_distance_median,fpfh_distance_mean,fpfh_distance_p90,fpfh_distance_max,log_normalized_density_ratio_min,log_normalized_density_ratio_median,log_normalized_density_ratio_mean,log_normalized_density_ratio_p90,log_normalized_density_ratio_max,is_mutual_nn_min,is_mutual_nn_median,is_mutual_nn_mean,is_mutual_nn_p90,is_mutual_nn_max,distance_T0_positive_mean,distance_T0_negative_mean,distance_T0_positive_minus_negative_mean,point_to_plane_residual_positive_mean,point_to_plane_residual_negative_mean,point_to_plane_residual_positive_minus_negative_mean,normal_dot_abs_positive_mean,normal_dot_abs_negative_mean,normal_dot_abs_positive_minus_negative_mean,fpfh_distance_positive_mean,fpfh_distance_negative_mean,fpfh_distance_positive_minus_negative_mean,log_normalized_density_ratio_positive_mean,log_normalized_density_ratio_negative_mean,log_normalized_density_ratio_positive_minus_negative_mean,is_mutual_nn_positive_mean,is_mutual_nn_negative_mean,is_mutual_nn_positive_minus_negative_mean
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005_easy,20260626_143302_palletizer_005_part_2_refined_from_voxel005,True,2000,242,1758,0.121,0.1,0.4,0,0.0,0,0.0,0.0154359176296993,0.1859574922245657,0.181284169970247,0.25650245218650053,0.5163678165872284,0.0034899579179733,0.0806085199198842,0.10210538422785352,0.2015980989036063,0.3844141671356028,2.440706978840297e-05,0.04155977610593195,0.057762411392917885,0.12621435584065732,0.3264847392706383,0.0008820562905781,0.5707973211203607,0.5593008737303485,0.9706356953232186,0.999945756678907,25.85651502871181,74.53994392391165,85.00814500318866,135.12516098640867,248.7108423670572,-1.7376511723154529,0.4069752180534813,0.48630147797998496,1.497323820083306,3.6708365852871863,0.0,0.0,0.125,1.0,1.0,0.16568116603722727,0.09335376921200116,0.07232739682522611,0.08358650914389482,0.05420755834642389,0.029378950797470924,0.6816512401078338,0.5424585593598413,0.13919268074799251,105.76478348392777,82.15086029764892,23.613923186278853,0.5202279775793951,0.48163127723876925,0.038596700340625845,0.012396694214876033,0.14050056882821388,-0.12810387461333783
real_20260626_144015_pallet_rack_05_part1_refined_from_voxel005_easy,20260626_144015_pallet_rack_05_part1_refined_from_voxel005,True,1353,258,1095,0.19068736141906872,0.1,0.4,0,0.0,0,0.0,0.0037958936754259,0.1337463353052382,0.13450693059556346,0.18648940168599953,0.2910120916259426,0.0047167017053862,0.0610940815486983,0.0691394468555003,0.1240282758349872,0.2216487640483102,3.647569592565847e-05,0.0269177611633891,0.036757241219777095,0.08492417734845979,0.1669794314192663,0.0044637941703312,0.7721430146304276,0.6844341635683994,0.9920030931051182,0.9998370426609144,35.33405591788706,91.2173458510628,101.69416676328376,163.75714359631465,248.5673870269503,-1.0754282614218946,0.1473246234327142,0.20239403731407407,0.9136886433579132,1.9793511884174004,0.0,0.0,0.1958610495195861,1.0,1.0,0.09561653626430429,0.06290100935096021,0.032715526913344076,0.057728215391495086,0.03181613497657779,0.0259120804149173,0.6304454745124988,0.697154786195269,-0.06670931168277028,114.16360065485588,98.75616316143389,15.407437493421995,0.1454049568573975,0.21582160147646912,-0.07041664461907163,0.06589147286821706,0.2264840182648402,-0.16059254539662313
real_20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005_easy,20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,True,1353,658,695,0.48632668144863267,0.1,0.4,0,0.0,0,0.0,0.0119121198739471,0.1015868610797779,0.10214705264951551,0.1455576328053802,0.2686623574376012,0.0031575868458076,0.0676962568927925,0.07889607903936596,0.14777984696618526,0.2499240269042931,6.407893779602407e-05,0.0430314547018478,0.054958313608420795,0.12191833538707456,0.1915788875844085,0.0012992293834706,0.8706419817158992,0.7255393558204353,0.9916606559602656,0.9999833550227598,34.16266099006492,101.8645192424162,104.05827091621333,139.73421454800402,212.8133150941709,-1.347072167968474,0.1670539028451825,0.1565983373330147,0.7123176768637502,2.0853648926674606,0.0,0.0,0.19216555801921656,1.0,1.0,0.08660612046614914,0.07159650024969211,0.015009620216457034,0.06923480932370787,0.04144186154991879,0.027792947773789087,0.7777213933677922,0.6761353548043764,0.10158603856341586,103.52319100665945,104.56486455720103,-1.0416735505415886,0.12272510948106313,0.1886682422633516,-0.06594313278228847,0.15045592705167174,0.2316546762589928,-0.08119874920732106
real_20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005_hard,20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,True,1353,280,1073,0.20694752402069475,0.1,0.6,0,0.0,0,0.0,0.008342653108089,0.136916080997568,0.1366952126601977,0.19055118211735808,0.3094782901131822,0.0044758572108279,0.0873837350845257,0.09862769985063825,0.1779955124746565,0.2819241796235501,3.5426865396804424e-05,0.0574638898870666,0.0696977694756266,0.14806820080315986,0.2308306456987883,0.0028298764114358,0.8218212622037726,0.6617657381429931,0.9893415254779897,0.999848531479774,33.26468984769436,108.98108704534432,110.4375734909816,161.50464692946974,249.217047269302,-1.241711710088394,0.2825666670234364,0.4040062508801727,1.563497880745734,2.9048048950325405,0.0,0.0,0.13821138211382114,1.0,1.0,0.13394735178303244,0.08941101528300509,0.04453633650002735,0.10934125478498544,0.059352777968990564,0.04998847681599487,0.7371404107059132,0.6420966716773663,0.0950437390285469,101.02687137168824,112.89330190980931,-11.866430538121065,0.34635335741951506,0.41905080835359687,-0.07269745093408181,0.05714285714285714,0.15936626281453867,-0.10222340567168153
real_20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005_easy,20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,True,1353,444,909,0.328159645232816,0.1,0.4,0,0.0,0,0.0,0.0099658830957718,0.122438574727903,0.12556609274101074,0.18501090581985136,0.3858541340463342,0.0019417373918473,0.1003587603965007,0.11519524219611425,0.21594736795685107,0.3386195176939153,6.475804978677002e-05,0.0554793799219086,0.06640943957276746,0.1362397263020035,0.2787751602980037,0.0002003403149683,0.729575247562651,0.6484645626783804,0.9818401875609016,0.9999299414750992,43.31010069248288,113.52387030742132,124.52406462090958,178.8824431332543,287.2091735068369,-1.35643956374846,0.2666283902045845,0.3392465230726551,1.011597570781348,2.7725788785446905,0.0,0.0,0.10421286031042129,1.0,1.0,0.12658722408211895,0.10963084180295024,0.016956382279168708,0.07643738232093288,0.06151130252085826,0.014926079800074613,0.6898714308932762,0.6282394257285302,0.061632005164745984,122.6223275250486,125.45296590865688,-2.8306383836082745,0.3662479490891704,0.32605770772465426,0.040190241364516155,0.009009009009009009,0.15071507150715072,-0.14170606249814172
real_20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005_hard,20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,True,1353,363,990,0.2682926829268293,0.1,0.6,0,0.0,0,0.0,0.0099658830957718,0.1225067948720651,0.1261832733289588,0.1773918258112048,0.3204609525368615,0.0024559231600676,0.0749143263895102,0.09692451581667332,0.2075550718219358,0.3326814492759782,8.713977898305858e-05,0.0312194154683812,0.04962665590345742,0.12690345694369956,0.282152858578275,4.388267248292403e-05,0.7352992967406575,0.6393543818567916,0.9837399444233851,0.9999304670127656,41.90697960270646,114.17845963958086,124.8835755924972,182.13726267620893,288.00745984027685,-1.5976014842017894,0.2125612303377476,0.2735474350137197,0.9650776460553684,2.708030601321727,0.0,0.0,0.15668883961566887,1.0,1.0,0.09962645551609177,0.09593380459355322,0.003692650922538551,0.04947084804904702,0.04968378545007457,-0.00021293740102754782,0.6266480292820051,0.6440133778008797,-0.017365348518874613,123.19935535392581,125.5011230133067,-2.301767659380886,0.34249772653092364,0.2482656614574116,0.09423206507351203,0.046831955922865015,0.19696969696969696,-0.15013774104683195
real_20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005_easy,20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,True,1349,203,1146,0.15048183839881393,0.1,0.4,0,0.0,0,0.0,0.0143447705069431,0.2223002658256795,0.21191185106026034,0.3261854927851873,0.4889581488888823,0.0118556948552172,0.1605460835677964,0.17192447116563422,0.2867600745683295,0.3966523019835241,2.5150019385966612e-05,0.0995615368225825,0.1191944288853074,0.24757849087029266,0.3609202152288426,0.0006006201134521,0.7008737590136361,0.6351815995952248,0.9742879452444304,0.9999611858460784,37.57945785616534,111.4218607246829,122.33386262700834,186.2229733743821,270.84525813240055,-1.325667924968057,0.432863467432301,0.6488756316260536,1.5314722561126606,3.540938932953278,0.0,0.0,0.048183839881393624,0.0,1.0,0.27487866173928666,0.15368738505180227,0.12119127668748439,0.19500175523330074,0.10576608050080248,0.08923567473249826,0.677349836691073,0.6277120078583511,0.04963782883272183,99.29820622250278,126.41434975625322,-27.11614353375043,0.5085179483861529,0.673738292793331,-0.16522034440717803,0.0,0.056719022687609075,-0.056719022687609075
real_20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005_medium,20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,True,1351,375,976,0.27757216876387864,0.1,0.5,0,0.0,0,0.0,0.0118715546808264,0.1658269595018036,0.1708294156247957,0.2883265497740985,0.3562225370779963,0.0098384347006728,0.2273006774199198,0.232341589222378,0.4127209351227014,0.4985334452585165,0.0002104825077444,0.1263126910822448,0.15315000925446864,0.3221614100616242,0.4790883447345941,0.0002320371668739,0.5863779227574879,0.5296612997435568,0.9575793392822216,0.9997355052649436,42.14971018407312,119.59151987210775,129.30315383611466,180.81656160383875,285.9038587098685,-0.9954264948907572,0.36974668387961,0.4136058155987807,0.9650776460553684,2.110203973128177,0.0,0.0,0.03923019985196151,0.0,1.0,0.3116759299584901,0.20185964477971197,0.10981628517877812,0.2031144655032772,0.1339526003473957,0.06916186515588149,0.6121913800132248,0.49795148406617423,0.11423989594705058,133.6596222824922,127.62930581624627,6.030316466245921,0.433662007747902,0.4058997991480426,0.027762208599859395,0.0,0.05430327868852459,-0.05430327868852459
real_20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005_easy,20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,True,1353,122,1231,0.090169992609017,0.1,0.4,0,0.0,0,0.0,0.0207567379019869,0.2023121867828692,0.19602523665022994,0.26827749608648077,0.4441417632518276,0.0068794881637931,0.1085875742571611,0.13591942660620515,0.27447232225932705,0.3385335260089386,2.673568018810545e-05,0.0610187071036355,0.08274919034646368,0.19771250912948252,0.3240198169873713,0.0004606525324222,0.635059123471974,0.5559058645852323,0.9451113086436889,0.9997997745881738,37.70262871373145,99.13951333099224,109.29299380333836,162.59376409687133,266.6330018236197,-0.7668342537287183,0.7442011616186289,0.7194462799363275,1.3500658823417937,3.5498579993480512,0.0,0.0,0.10125646711012565,1.0,1.0,0.22111306506708106,0.1274761903005781,0.09363687476650295,0.128608149494089,0.0782042731929216,0.0504038763011674,0.5560637371109362,0.5558902184047808,0.00017351870615534004,87.1833328646193,111.48420309214724,-24.300870227527938,0.7085320969091699,0.7205279455165982,-0.011995848607428305,0.0,0.11129163281884646,-0.11129163281884646
real_20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005_medium,20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,True,1353,507,846,0.37472283813747226,0.1,0.5,0,0.0,0,0.0,0.0171322698626699,0.1141410154606772,0.12026589088835975,0.18534713779927575,0.3177704600710159,0.0084099097191313,0.0815261961968093,0.09517619931234074,0.19539434316919901,0.286133853037895,3.5708632481663144e-05,0.0501867795405495,0.06788705243822747,0.16460547713935078,0.2663467954163875,0.0006478921876395,0.6909671980510401,0.5873053145813698,0.95772129376417,0.999697281952369,39.429315652755065,94.45287027322466,108.12086372103214,171.2689553815608,268.8314936257994,-0.7221340628883618,0.4818374026832023,0.4943956670436942,1.1284631609129767,2.0744639262239994,0.0,0.0,0.13008130081300814,1.0,1.0,0.06303003959257576,0.11444109644936301,-0.05141105685678725,0.041933526055329705,0.08344076151166621,-0.04150723545633651,0.6196090540316421,0.5679459813647172,0.051663072666924936,103.31650744424157,111.00007014222932,-7.683562697987753,0.3392307622560094,0.5873845638845409,-0.24815380162853146,0.23076923076923078,0.06973995271867613,0.16102927805055467
