sample_id,scenario,num_candidates,num_positive,num_negative,positive_rate,time_s
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005_medium,real_previous_registration,1990,57,1933,0.028643216080402,0.1141839027404785
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005_hard,real_previous_registration,1478,21,1457,0.0142083897158322,0.1067836284637451
real_20260626_144015_pallet_rack_05_part1_refined_from_voxel005_medium,real_previous_registration,1353,12,1341,0.0088691796008869,0.0427327156066894
real_20260626_144015_pallet_rack_05_part1_refined_from_voxel005_hard,real_previous_registration,1353,34,1319,0.0251293422025129,0.0428962707519531
real_20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005_medium,real_previous_registration,721,0,721,0.0,0.0366730690002441
real_20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005_medium,real_previous_registration,952,0,952,0.0,0.0339772701263427
real_20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005_hard,real_previous_registration,413,0,413,0.0,0.0235185623168945
real_20260702_150045_table1_cluster018_ransac_icp_voxel005_easy,real_previous_registration,1287,2,1285,0.0015540015540015,0.0778841972351074
real_20260702_150045_table1_cluster018_ransac_icp_voxel005_medium,real_previous_registration,1287,0,1287,0.0,0.0666496753692627
real_20260702_150045_table1_cluster018_ransac_icp_voxel005_hard,real_previous_registration,1287,31,1256,0.024087024087024,0.0674641132354736
real_20260703_123647_table_metallique_cluster018_ransac_icp_voxel005_medium,real_previous_registration,2000,3,1997,0.0015,0.0943465232849121
real_20260703_123647_table_metallique_cluster018_ransac_icp_voxel005_hard,real_previous_registration,2000,44,1956,0.022,0.0947790145874023
real_20260703_135250_rm00_0260_02_cluster029_full_refined_from_voxel005_hard,real_previous_registration,798,10,788,0.012531328320802,0.027430772781372
real_20260706_122425_metal_tab2_cluster009_part1_ransac_icp_voxel005_hard,real_previous_registration,1776,48,1728,0.027027027027027,0.070681095123291
real_20260706_130424_table_cluster004_table1_refined_from_identity_scale1_easy,real_previous_registration,697,643,54,0.9225251076040172,0.0308456420898437
real_20260706_150131_table3_cluster004_table3_refined_from_identity_hard,real_previous_registration,996,751,245,0.7540160642570282,0.0377252101898193
real_20260706_163516_mir_charger_cluster025_ransac_icp_voxel005_hard,real_previous_registration,317,3,314,0.0094637223974763,0.0106911659240722
real_20260706_163705_mir_charger_cluster025_refined_from_identity_easy,real_previous_registration,319,10,309,0.0313479623824451,0.0113255977630615
real_20260706_163705_mir_charger_cluster025_refined_from_identity_medium,real_previous_registration,319,260,59,0.8150470219435737,0.0108225345611572
real_20260707_154904_ur10_choko_base_cluster016_base_refined_from_center_v2_easy,real_previous_registration,887,33,854,0.0372040586245772,0.0469872951507568
real_20260707_154904_ur10_choko_base_cluster016_base_refined_from_center_v2_hard,real_previous_registration,887,16,871,0.0180383314543404,0.0361802577972412
