model,heldout_real_case,repeat_idx,train_original_rows,train_balanced_rows,test_rows,train_original_positive_rate,train_balanced_positive_rate,test_positive_rate,rows_per_case,max_depth,min_samples_leaf,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,num_predicted_reliable,acceptance_rate
DecisionTree_real_only_v2_case_balanced,20260626_143302_palletizer_005_part_2_refined_from_voxel005,0,42969,17000,2000,0.2425004072703577,0.23770588235294118,0.121,1000,5,50,0.5,0.496,0.14990859232175502,0.6776859504132231,0.24550898203592814,0.6777823221354092,828,930,78,164,1094,0.547
DecisionTree_real_only_v2_case_balanced,20260626_143302_palletizer_005_part_2_refined_from_voxel005,1,42969,17000,2000,0.2425004072703577,0.23688235294117646,0.121,1000,5,50,0.5,0.5345,0.1605911330049261,0.6735537190082644,0.25934765314240255,0.6941772675561073,906,852,79,163,1015,0.5075
DecisionTree_real_only_v2_case_balanced,20260626_143302_palletizer_005_part_2_refined_from_voxel005,2,42969,17000,2000,0.2425004072703577,0.23923529411764705,0.121,1000,5,50,0.5,0.5525,0.18875119161105816,0.8181818181818182,0.3067389620449264,0.6725335890709766,907,851,44,198,1049,0.5245
DecisionTree_real_only_v2_case_balanced,20260626_143302_palletizer_005_part_2_refined_from_voxel005,3,42969,17000,2000,0.2425004072703577,0.2353529411764706,0.121,1000,5,50,0.5,0.583,0.18842105263157893,0.7396694214876033,0.30033557046979864,0.6657100010342331,987,771,63,179,950,0.475
DecisionTree_real_only_v2_case_balanced,20260626_143302_palletizer_005_part_2_refined_from_voxel005,4,42969,17000,2000,0.2425004072703577,0.2341764705882353,0.121,1000,5,50,0.5,0.6445,0.21297429620563035,0.71900826446281,0.3286118980169972,0.7260704312752095,1115,643,68,174,817,0.4085
DecisionTree_real_only_v2_case_balanced,20260626_144015_pallet_rack_05_part1_refined_from_voxel005,0,43616,17000,1353,0.23853631694790903,0.2281764705882353,0.19068736141906872,1000,5,50,0.5,0.29637841832963785,0.1787037037037037,0.748062015503876,0.2884902840059791,0.48132809458072284,208,887,65,193,1080,0.7982261640798226
DecisionTree_real_only_v2_case_balanced,20260626_144015_pallet_rack_05_part1_refined_from_voxel005,1,43616,17000,1353,0.23853631694790903,0.23141176470588234,0.19068736141906872,1000,5,50,0.5,0.5129342202512934,0.21316165951359084,0.5775193798449613,0.3113897596656217,0.5446585961558883,545,550,109,149,699,0.516629711751663
DecisionTree_real_only_v2_case_balanced,20260626_144015_pallet_rack_05_part1_refined_from_voxel005,2,43616,17000,1353,0.23853631694790903,0.23694117647058824,0.19068736141906872,1000,5,50,0.5,0.3939393939393939,0.188470066518847,0.6589147286821705,0.29310344827586204,0.5838695975363702,363,732,88,170,902,0.6666666666666666
DecisionTree_real_only_v2_case_balanced,20260626_144015_pallet_rack_05_part1_refined_from_voxel005,3,43616,17000,1353,0.23853631694790903,0.23452941176470588,0.19068736141906872,1000,5,50,0.5,0.3407243163340724,0.15913978494623657,0.5736434108527132,0.24915824915824916,0.4724222151428268,313,782,110,148,930,0.6873614190687362
DecisionTree_real_only_v2_case_balanced,20260626_144015_pallet_rack_05_part1_refined_from_voxel005,4,43616,17000,1353,0.23853631694790903,0.2338235294117647,0.19068736141906872,1000,5,50,0.5,0.4116777531411678,0.21743697478991597,0.8023255813953488,0.3421487603305785,0.5532919188701285,350,745,51,207,952,0.7036215816703622
