model,heldout_real_case,train_rows,test_rows,train_positive_rate,test_positive_rate,max_depth,min_samples_leaf,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,num_predicted_reliable,acceptance_rate
DecisionTree_real_only_v2,20260626_143302_palletizer_005_part_2_refined_from_voxel005,42969,2000,0.2425004072703577,0.121,5,50,0.5,0.4085,0.14436885865457294,0.7892561983471075,0.2440894568690096,0.5980652789138672,626,1132,51,191,1323,0.6615
DecisionTree_real_only_v2,20260626_144015_pallet_rack_05_part1_refined_from_voxel005,43616,1353,0.23853631694790903,0.19068736141906872,5,50,0.5,0.35920177383592017,0.1945837512537613,0.751937984496124,0.30916334661354583,0.5382464337545573,292,803,64,194,997,0.7368810051736882
DecisionTree_real_only_v2,20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,42263,2706,0.2300830513688096,0.3466371027346637,5,50,0.5,0.47191426459719144,0.3869184707508061,0.8955223880597015,0.5403666773882277,0.6004227609528312,437,1331,98,840,2171,0.8022912047302291
DecisionTree_real_only_v2,20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,42263,2706,0.23318268935002248,0.2982261640798226,5,50,0.5,0.4781966001478197,0.3316638842515303,0.7385377942998761,0.4577572964669739,0.5600420360810785,698,1201,211,596,1797,0.664079822616408
DecisionTree_real_only_v2,20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,42269,2700,0.23856727152286547,0.21407407407407408,5,50,0.5,0.3888888888888889,0.017985611510791366,0.03460207612456748,0.023668639053254437,0.232769079245603,1030,1092,558,20,1112,0.41185185185185186
DecisionTree_real_only_v2,20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,40971,3998,0.2425862195211247,0.18084042021010505,5,50,0.5,0.400200100050025,0.19906575637800933,0.7662517289073306,0.31602966343411293,0.5320866195770381,1046,2229,169,554,2783,0.6960980490245122
DecisionTree_real_only_v2,20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005,41764,3205,0.24109280720237525,0.18502340093603745,5,50,0.5,0.7868954758190327,0.41788321167883213,0.38617200674536256,0.4014022787028922,0.7757870665678449,2293,319,364,229,548,0.17098283931357255
DecisionTree_real_only_v2,20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005,42399,2570,0.23854336187174227,0.2132295719844358,5,50,0.5,0.553307392996109,0.3026315789473684,0.8394160583941606,0.4448742746615087,0.6461185174756511,962,1060,88,460,1520,0.5914396887159533
DecisionTree_real_only_v2,20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005,42323,2646,0.2267325095101954,0.40287226001511717,5,50,0.5,0.58994708994709,0.4946053378762067,0.8170731707317073,0.6162009197028653,0.672299736385874,690,890,195,871,1761,0.6655328798185941
DecisionTree_real_only_v2,20260703_135250_rm00_0260_02_cluster029_full_refined_from_voxel005,43205,1764,0.2263395440342553,0.5005668934240363,5,50,0.5,0.626984126984127,0.5822970007315289,0.9014722536806342,0.7075555555555556,0.6563355242099796,310,571,87,796,1367,0.7749433106575964
DecisionTree_real_only_v2,20260706_122711_metal_tab2_cluster009_part1_refined_from_identity,39634,5335,0.22801130342635112,0.3045923149015933,5,50,0.5,0.5921274601686973,0.3684964200477327,0.47507692307692306,0.4150537634408602,0.5261677793904208,2387,1323,853,772,2095,0.39268978444236174
DecisionTree_real_only_v2,20260706_130424_table_cluster004_table1_refined_from_identity_scale1,43575,1394,0.23814113597246128,0.20444763271162122,5,50,0.5,0.4411764705882353,0.2199546485260771,0.6807017543859649,0.3324764353041988,0.5499106196510212,421,688,91,194,882,0.6327116212338594
DecisionTree_real_only_v2,20260706_145031_table2_cluster004_table2_refined_from_identity,41819,3150,0.23367368899304145,0.28253968253968254,5,50,0.5,0.3466666666666667,0.2943661971830986,0.9393258426966292,0.4482573726541555,0.5675330615491697,256,2004,54,836,2840,0.9015873015873016
DecisionTree_real_only_v2,20260706_150131_table3_cluster004_table3_refined_from_identity,42970,1999,0.2443099837095648,0.08204102051025512,5,50,0.5,0.43921960980490243,0.019095477386934675,0.11585365853658537,0.03278688524590164,0.32622615803814714,859,976,145,19,995,0.4977488744372186
DecisionTree_real_only_v2,20260706_153654_table_fanuc_cluster000_table1_refined_from_identity,39370,5599,0.25143510287020576,0.13627433470262548,5,50,0.5,0.5061618146097517,0.1583617747440273,0.6081258191349934,0.2512862171676144,0.5768900134096938,2370,2466,299,464,2930,0.5233077335238435
DecisionTree_real_only_v2,20260706_163516_mir_charger_cluster025_ransac_icp_voxel005,44331,638,0.23656132277638672,0.274294670846395,5,50,0.5,0.48589341692789967,0.2992125984251969,0.6514285714285715,0.41007194244604317,0.5701820425794508,196,267,61,114,381,0.5971786833855799
DecisionTree_real_only_v2,20260706_163705_mir_charger_cluster025_refined_from_identity,44650,319,0.2380515117581187,0.10344827586206896,5,50,0.5,0.3761755485893417,0.11926605504587157,0.7878787878787878,0.20717131474103587,0.7196969696969697,94,192,7,26,218,0.6833855799373041
DecisionTree_real_only_v2,20260707_154904_ur10_choko_base_cluster016_base_refined_from_center_v2,44082,887,0.23980309423347398,0.10259301014656144,5,50,0.5,0.5276211950394588,0.13716814159292035,0.6813186813186813,0.2283609576427256,0.6741399304213375,406,390,29,62,452,0.5095828635851184
