sample_id,scenario,reference_path,observation_path,label_transform_path,label_transform_direction,T0_mode,T0_path,perturb_rot_deg,perturb_trans_m,voxel_size,normal_radius,fpfh_radius,density_radius,max_corr_distance_m,label_threshold_m,max_source_points
real_20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005_easy,real_previous_registration,segmented_scene_trial11_point_merge/merged_cluster_021.pcd,data/CAD/pallet_rack_05_part1_proxy_m.pcd,real_results/matrices/20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005__T_scene_cad.txt,obs_to_ref,perturb_label,,3.0,0.05,0.05,0.15,0.25,0.15,0.4,0.1,2000
real_20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005_hard,real_previous_registration,segmented_scene_trial11_point_merge/merged_cluster_021.pcd,data/CAD/pallet_rack_05_part1_proxy_m.pcd,real_results/matrices/20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005__T_scene_cad.txt,obs_to_ref,perturb_label,,8.0,0.12,0.05,0.15,0.25,0.15,0.6,0.1,2000
real_20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005_easy,real_previous_registration,segmented_scene_trial11_point_merge/merged_cluster_022.pcd,data/CAD/pallet_rack_05_part1_proxy_m.pcd,real_results/matrices/20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005__T_scene_cad.txt,obs_to_ref,perturb_label,,3.0,0.05,0.05,0.15,0.25,0.15,0.4,0.1,2000
real_20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005_medium,real_previous_registration,segmented_scene_trial11_point_merge/merged_cluster_022.pcd,data/CAD/pallet_rack_05_part1_proxy_m.pcd,real_results/matrices/20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005__T_scene_cad.txt,obs_to_ref,perturb_label,,5.0,0.08,0.05,0.15,0.25,0.15,0.5,0.1,2000
real_20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005_hard,real_previous_registration,segmented_scene_trial11_point_merge/merged_cluster_022.pcd,data/CAD/pallet_rack_05_part1_proxy_m.pcd,real_results/matrices/20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005__T_scene_cad.txt,obs_to_ref,perturb_label,,8.0,0.12,0.05,0.15,0.25,0.15,0.6,0.1,2000
real_20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005_easy,real_previous_registration,segmented_scene_trial11_point_merge/merged_cluster_029_full.ply,data/CAD/RM00-0260_02_proxy_m.pcd,real_results/matrices/20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005__T_scene_cad.txt,obs_to_ref,perturb_label,,3.0,0.05,0.05,0.15,0.25,0.15,0.4,0.1,2000
real_20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005_medium,real_previous_registration,segmented_scene_trial11_point_merge/merged_cluster_029_full.ply,data/CAD/RM00-0260_02_proxy_m.pcd,real_results/matrices/20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005__T_scene_cad.txt,obs_to_ref,perturb_label,,5.0,0.08,0.05,0.15,0.25,0.15,0.5,0.1,2000
real_20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005_hard,real_previous_registration,segmented_scene_trial11_point_merge/merged_cluster_029_full.ply,data/CAD/RM00-0260_02_proxy_m.pcd,real_results/matrices/20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005__T_scene_cad.txt,obs_to_ref,perturb_label,,8.0,0.12,0.05,0.15,0.25,0.15,0.6,0.1,2000
real_20260706_122711_metal_tab2_cluster009_part1_refined_from_identity_easy,real_previous_registration,segmented_scene_trial11_point_merge/merged_cluster_009_part_1.ply,data/CAD/from_drive/mouhib/metal_tab2_proxy_m.pcd,real_results/matrices/20260706_122711_metal_tab2_cluster009_part1_refined_from_identity__T_scene_cad_refined.txt,obs_to_ref,perturb_label,,3.0,0.05,0.05,0.15,0.25,0.15,0.4,0.1,2000
real_20260706_122711_metal_tab2_cluster009_part1_refined_from_identity_medium,real_previous_registration,segmented_scene_trial11_point_merge/merged_cluster_009_part_1.ply,data/CAD/from_drive/mouhib/metal_tab2_proxy_m.pcd,real_results/matrices/20260706_122711_metal_tab2_cluster009_part1_refined_from_identity__T_scene_cad_refined.txt,obs_to_ref,perturb_label,,5.0,0.08,0.05,0.15,0.25,0.15,0.5,0.1,2000
